Keyword,volume,difficulty,intent,source,primary_url,secondary_urls,gap,notes
kitesurfing dominican republic,106.0,17,General Info/Other,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: General Info/Other
turks and caicos catamaran,46.854800753685424,29,Commercial (trip/booking),caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Commercial (trip/booking)
kitesurf turks and caicos,39.0,31,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Destination/Informational
kitesurf caribbean,33.0,29,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Destination/Informational
kitesurfing caribbean,31.0,29,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Destination/Informational
kiteboarding caribbean,31.0,30,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Destination/Informational
catamaran cruises caribbean,30.898661494041296,21,Commercial (trip/booking),caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Commercial (trip/booking)
barbados kiteboarding season,27.24240561649708,19,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Destination/Informational
north juice 2018 wind range,27.24240561649708,23,Informational (conditions),caribbeankitecruise.com,/guides,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Informational (conditions)
caribbean racing catamaran excursion,27.24240561649708,26,Commercial (trip/booking),caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Commercial (trip/booking)
turkish airlines kiteboarding equipment,27.24240561649708,42,General Info/Other,kiteboarding-cruise.com,/guides,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: General Info/Other
kitesurf croatia,26.0,16,General Info/Other,kiteboarding-cruise.com,/guides,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: General Info/Other
kiteboarding antigua,25.0,25,Destination/Informational,caribbeankitecruise.com,/destinations/antigua,/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises|/booking,no,Target intent: Destination/Informational
kiteboarding vacations,24.0,29,Commercial (trip/booking),caribbeankitecruise.com,/packages,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,no,Target intent: Commercial (trip/booking)
kitesurfing vacation,24.0,31,Commercial (trip/booking),kiteboarding-cruise.com,/packages,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,no,Target intent: Commercial (trip/booking)
caribbean catamaran cruise,23.54436116474773,22,Commercial (trip/booking),caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Commercial (trip/booking)
caribbean catamaran,23.0,21,Commercial (trip/booking),caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Commercial (trip/booking)
kitesurfing trips,22.0,26,General Info/Other,caribbeankitecruise.com,/guides,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: General Info/Other
caribbean kite cruise,12.0,25,Commercial (trip/booking),caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/booking,yes,Target intent: Commercial (trip/booking)
kiteboard grace bay,10.53708460249408,22,Destination/Informational,caribbeankitecruise.com,/guides,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Destination/Informational
kiteboard grace bay turks and caicos,10.53708460249408,22,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Destination/Informational
kitesurfing greece,10.53708460249408,22,Destination/Informational,kiteboarding-cruise.com,/destinations/greece,/destinations/antigua|/destinations/sardinia|/guides/caribbean-kite-cruises|/booking,no,Target intent: Destination/Informational
kitesurf antigua,10.53708460249408,28,Destination/Informational,caribbeankitecruise.com,/destinations/antigua,/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises|/booking,no,Target intent: Destination/Informational
kite adventures,10.0,30,General Info/Other,caribbeankitecruise.com,/guides,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: General Info/Other
cyclades kitesurfing,9.0,11,Destination/Informational,kiteboarding-cruise.com,/destinations/greece,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,no,Target intent: Destination/Informational
kitesurf packages,8.0,29,Commercial (trip/booking),caribbeankitecruise.com,/packages,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,no,Target intent: Commercial (trip/booking)
kite catamaran,7.0,21,Commercial (trip/booking),caribbeankitecruise.com,/packages,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,no,Target intent: Commercial (trip/booking)
catamaran kite,6.0,27,Commercial (trip/booking),caribbeankitecruise.com,/packages,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,no,Target intent: Commercial (trip/booking)
kite and sail greece,5.0,5,Destination/Informational,kiteboarding-cruise.com,/destinations/greece,/destinations/antigua|/destinations/sardinia|/guides/caribbean-kite-cruises|/booking,no,Target intent: Destination/Informational
kite cruise italy,5.0,9,Commercial (trip/booking),caribbeankitecruise.com,/packages,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,no,Target intent: Commercial (trip/booking)
wing foil holiday,5.0,9,Commercial (trip/booking),caribbeankitecruise.com,/packages,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,no,Target intent: Commercial (trip/booking)
kite and sail italy,5.0,10,General Info/Other,caribbeankitecruise.com,/guides,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: General Info/Other
kitesurfing tours greece,5.0,11,Destination/Informational,kiteboarding-cruise.com,/destinations/greece,/destinations/antigua|/destinations/sardinia|/guides/caribbean-kite-cruises|/booking,no,Target intent: Destination/Informational
kitesurfing catamaran,5.0,16,Commercial (trip/booking),caribbeankitecruise.com,/packages,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,no,Target intent: Commercial (trip/booking)
kite cruise spain,5.0,17,Commercial (trip/booking),caribbeankitecruise.com,/packages,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,no,Target intent: Commercial (trip/booking)
women's only kiteboarding trip,5.0,18,General Info/Other,caribbeankitecruise.com,/guides,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: General Info/Other
kite progression in greece,5.0,19,Destination/Informational,kiteboarding-cruise.com,/destinations/greece,/destinations/antigua|/destinations/sardinia|/guides/caribbean-kite-cruises|/booking,no,Target intent: Destination/Informational
kiteboarding lessons in greece,5.0,19,Destination/Informational,kiteboarding-cruise.com,/destinations/greece,/destinations/antigua|/destinations/sardinia|/guides/caribbean-kite-cruises|/booking,no,Target intent: Destination/Informational
kitesurf tobago,5.0,19,Destination/Informational,caribbeankitecruise.com,/guides/caribbean-kite-cruises,/destinations/antigua|/destinations/greece|/destinations/sardinia|/guides/caribbean-kite-cruises,yes,Target intent: Destination/Informational
kitesurf experience in greece,5.0,21,Destination/Informational,kiteboarding-cruise.com,/destinations/greece,/destinations/antigua|/destinations/sardinia|/guides/caribbean-kite-cruises|/booking,no,Target intent: Destination/Informational
